,Title,Source,Description,Label_us_economy,Label_sentiment
0,Growth at all costs? Why Reeves is in a sudden rush on the economy,BBC News,The chancellor raised taxes in the Budget - but now she wants to get rid of barriers to business. Why the change of focus?,-1,1
1,Former Amazon Executive to run UK's antitrust agency,Yahoo Entertainment,"The UK's Competition and Markets Authority (MCA), a watchdog agency which has repeatedly probed Amazon's business dealings, will now be run by former Amazon executive Doug Gurr. — that makes sense, right? Gurr will serve as interim chair ""in a bid to boost gr…",0,0
2,Elon Musk Is Posting Nonstop Falsehoods About 'Grooming Gangs',Wired,"Musk’s posts, which have racked up hundreds of millions of views on X, are his latest effort at inserting himself into UK politics.",0,0
3,Has Trump promised too much on US economy?,BBC News,"He won the election to fix inflation but Trump may find his pledges on prices and tariffs can't both win out, say experts.",1,-1
4,"Now, Elon Musk Is Trying to Upend British Politics",Gizmodo.com,Why is Trump's righthand man trying to discredit Britain's Labour government?,-1,0
5,How will the UK's growth plans affect me?,BBC News,"Rachel Reeves wants to push ahead with building and reform planning, but what does that mean for you?",-1,0
6,Billionaires and CEOs have a choice to make: Attend Trump's inauguration or the first day of Davos,Business Insider,"Trump's inauguration coincides with Day 1 of Davos, a yearly meeting of the world's business and politics elite. Which will the powerful opt to skip?",1,0
7,Trump's election changed how Americans feel about the economy,Business Insider,Turns out America's economic gloom was fueled by something far thornier than inflation: political feelings.,1,0
8,Starmer and Badenoch clash over economy at PMQs,BBC News,The Tory leader flagged recent market turbulence and asked whether tax rises are planned in March.,-1,0
9,Elon Musk says 'Make Europe Great Again' as he continues his push into European politics,Business Insider,Elon Musk continues to champion right-wing politics in Europe.,-1,0
10,"Canadian PM Trudeau may quit within days, media reports suggest",BBC News,"The pressure has been building for months, with sinking poll numbers for the prime minister's ruling Liberal Party.",-1,0
11,Why a Harvard economist thinks the economy is headed for a recession in the 2nd half of Trump's term,Business Insider,"Trump probably won't be able to recreate the economic boom that occurred in his first term as president, according to top economist Kenneth Rogoff.",1,-1
12,WH Smith in talks to sell high street arm,BBC News,"The business says it is exploring options, ""including a possible sale"" as its travel retail business arm accounts for most of the profits.",-1,0
13,The Women Refusing to Participate in Trump’s Economy,Time,Some women are thinking about the economic impact Donald Trump could have—and they're determined to be prepared.,1,0
14,"China reports 5% GDP growth for 2024, meeting its target",Business Insider,"China's economy grew 5% in 2024, meeting its growth target of around 5%.",-1,1
15,Private-credit investors are staffing up. Here's where the jobs are.,Business Insider,"Private credit is booming. See 4 hiring trends as nonbank lending ramps up, from distressed debt to asset-backed finance.",0,1
16,"Spain's planned 100% property tax for non-EU buyers could hurt more than it helps, economists say",Business Insider,"Spain's prime minister said too many foreigners were buying investment homes. But efforts to discouraging them could hit the economy, experts said.",0,-1
17,Quartz’s New AI Slop Is Regurgitated AI Slop,Gizmodo.com,"The business website's AI writers are scraping information from other AI writers, enabling a loop of generated garbage.",0,0
18,"Forget Apple, HP Professional Laptop With Microsoft Office Is Now $700, Originally $1,900 (54% Off)",Gizmodo.com,Save $900 on the HP 255-G10 business laptop computer and get lifetime access to the Microsoft Office suite.,0,0
19,Davey urges Starmer to start EU customs union talks,BBC News,"Sir Ed Davey calls for PM to use meeting with EU leaders to ""fire the starting gun"" on new trade deal.",-1,-1
20,A retirement boom and slowing immigration could help job seekers find work this year,Business Insider,A decrease in immigration and increase in retirements could help people find work this year. But these factors could create problems for the economy.,1,1
21,The US economy ended 2024 with cooler growth than expected in the fourth quarter,Business Insider,Real GDP growth in the fourth quarter of this past year was short of the expected 2.7% increase.,1,-1
22,Nearly Half of US Unicorns Have Immigrants Founders,Gfmag.com,Nearly Half Of US Unicorns Have Foreign-Born Founders | Global Finance Magazine,1,0
23,"Economists are questioning Russia's economic data, seeing a more troubled picture",Business Insider,Russia's latest economic data showed it had a strong 2024 and decade-high budget revenues in December. But economists say they aren't convinced.,0,-1
24,Gold Sneakers and Too-Tight Suits: The Menswear Guy Weighs In on Inauguration Weekend,Wired,"Menswear influencer Derek Guy is unimpressed by what tech barons and the MAGA rank and file wore this weekend. “To be frank,” he says, “many conservatives are often behind on fashion trends.”",0,0
25,How quickly could Rachel Reeves' new plans boost growth?,BBC News,The chancellor announced a range of reforms on Wednesday - including a new runway for Heathrow airport.,-1,0
26,"This is how Europe can avoid a 'downward spiral' and face up to Trump and China, according to one of consulting's biggest names",Business Insider,"Europe's economy has a competitiveness and innovation problem, and this is how to fix it, according to EY's Europe and Africa boss Julie Teigland.",-1,0
27,"New Zealand makes it easier for digital nomads to work, as it tries to aid its struggling economy",Business Insider,"New Zealand is making it easier for tourists to work remotely  while visiting the country, as part of efforts to help its stagnating economy.",-1,1
28,I got a job at Deloitte but was miserable and quit at 24. Now I'm doing what I love and will never go back.,Business Insider,Nicole Chan Loeb joined Deloitte as a management after college. She hated the hustle culture and quit two years later to start her own photography business.,0,0
29,I upgraded to a premium-economy seat on an 8-hour flight. It was so worth the extra $200.,Business Insider,"My Neos premium-economy upgrade got me perks like lounge access, a delicious in-flight meal, and a spacious seat for my eight-hour flight to Italy.",0,0
30,A nurse who uses a gig app to pay off debt says it points to a problem with the profession,Business Insider,"Apps like CareRev have taken the gig economy into nursing. One nurse says it's helped her pay down debt, but that there are issues.",0,0
31,"Trump's health secretary pick, Robert F. Kennedy Jr., faces confirmation hearing",NPR,"Robert F. Kennedy Jr., President Trump's nominee to lead the Department of Health and Human Services, faces Senate confirmation hearings today. What can we expect?",1,0
32,Bill Gates says he thinks it's 'insane' that Elon Musk is allowed to 'destabilize' politics in other countries,Business Insider,"""If someone is super-smart, and he is, they should think how they can help out,"" Gates said of Musk.",0,0
33,Tesla investors want answers about Optimus and robotaxis — and whether Elon Musk's push into politics will hurt the EV giant,Business Insider,"In an online forum for shareholders ahead of Tesla's fourth-quarter earnings, investors clamored for details about Elon Musk's robotaxi rollout.",0,0
34,"Now is 'the worst possible time' for the West to cut Ukraine support given Russia's woes, a former top US general says",Business Insider,"""I really believe that Russia is in very bad shape, not just from their military, but also their economy,"" a former top US Army general said.",-1,-1
35,Transforming the Moon Into Humanity’s First Space Hub,Wired,The small step back to Earth’s satellite will provide a giant leap for exploring our solar system.,-1,-1
36,Elon Musk's DOGE intends to embed 2 cost-cutting representatives at most major government agencies: report,Business Insider,"Those who aren't deployed will be stationed at the US Digital Service, a White House branch that provides IT consulting services to federal agencies.",-1,-1
37,"'Too much pessimism' — Fink, Trump and Schwarzman take aim at risk-averse Europe in Davos",Business Insider,"World leaders and business titans at the World Economic Forum called out widespread pessimism, siloed markets, regulation, and cultural weakness in Europe.",-1,-1
38,"Here's what to expect for raises, promotions, and job-seeking in 2025",Business Insider,"Economists talked to Business Insider about job market predictions, including work opportunities in 2025, promotions, and return to office mandates.",-1,-1
39,Trump Returns Big Tech’s Ass Kissing at Davos,Gizmodo.com,"As Trump heads back to the White House, he's putting the rest of the world on notice.",-1,-1
40,"Putin is repeating a Soviet-era mistake that tanked the Russian economy, Polish foreign minister says",Business Insider,"Poland's foreign minister said Putin used to criticize the Soviet approach that helped bankrupt it, but now he's repeating the mistake.",-1,-1
